월,일,요일,공부량,독서,토탈 집중,수면,시간,수면효율,평가,후기,목표
1월,18일,월,25분,2시간 19분,2시간 45분,7시간 45분,01:15~09:00,88%,,,빅데이터분석기사
1월,19일,화,2시간 26분,1시간 21분,3시간 47분,8시간 3분,00:51~08:54,90%,,,토익 900점 이상
1월,20일,수,2시간 15분,2시간 23분,4시간 39분,7시간 9분,01:21~08:30,91%,,,파이썬 스킬
1월,21일,목,1시간 15분,1시간 22분,2시간 27분,7시간 0분,01:50~08:50,90%,,,포트폴리오 준비하기
1월,22일,금,2시간 54분,1시간 12분,4시간 07분,6시간 32분,02:20~08:52,88%,,,
1월,23일,토,,,,8시간 05분,02:18~10:23,90%,,,
1월,24일,일,,,,,,0%,,,
1월,25일,월,0,2시간 40분,2시간 40분,7시간 51분,01:00~08:51,91%,,,
1월,26일,화,10분,3시간 14분,3시간 25분,7시간 28분,01:22~08:50,88%,,,
1월,27일,수,2시간 31분,11분,2시간 41분,7시간 22분,01:28~08:50,89%,,,
1월,28일,목,2시간 8분,1시간 3분,3시간 12분,7시간 30분,01:20~08:50,90%,,,
1월,29일,금,,,,7시간 57분,00:43~08:42,86%,,,
1월,30일,토,,,,,,,,,
1월,31일,일,,,,,,,,,
2월,01일,월,1시간 16분,12분,1시간 28분,7시간 8분,01:36~08:44,87%,,,
2월,2일,화,,,,7시간 48분,01:01~08:49,92%,,,
2월,3일,수,1시간 2분,34분 44초,1시간 37분,,,,,,
2월,4일,목,3시간 47분,51분,4시간 37분,5시간 49분,00:18~06:07,87%,,,
2월,5일,금,4시간 34분,1시간,5시간 34분,6시간 19분,22:40~04:59,84%,,,
2월,6일,토,,1시간 4분,1시간 4분,11시간 24분,22:34~09:58,88%,,,
2월,7일,일,,,,,,,,,
2월,8일,월,1시간 27분,,1시간 27분,7시간 51분,23:09~07:00,81%,,,
2월,9일,화,4시간 6분,47분,4시간 54분,5시간 28분,23:10~04:38,91%,,,
2월,10일,수,1시간 36분,,1시간 36분,10시간 54분,22:18~09:12,88%,,,
2월,11일,목,3시간 26분,40분,4시간 6분,7시간 33분,23:19~06:52,81%,,,
2월,12일,금,1시간 20분,5분,1시간 25분,4시간 50분,23:11~04:01,88%,,,
